ID_Karyawan,USIA,Generasi,Status Pegawai New,Tingkatan Jabatan,Jabatan,Unit Bisnis,Lokasi Kerja,"Tgl Mulai Bekerja
(Dd/Mm/Yyyy) New",Rincian Masa Kerja New,Tanggal Berakhir Kontrak,Status Terminasi,Tanggal Terminasi (Dd/Mm/Yyyy),Status_Label,Is_Resign,Tingkatan_Jabatan_New,USIA_CLEAN,Usia_Masuk,Lokasi Kerja Group
KFA-10001,"29 Tahun, 0 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA BUSINESS DEVELOPMENT,KFA PUSAT,Unit Business Development,2023-01-01,2.0,,AKTIF,2023-01-31 00:00:00.000000000,AKTIF,0,5,29.0,28.833333333333332,OTHER_LOCATION
KFA-10002,"26 Tahun, 0 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SURABAYA,KF.0022 UPN,2023-04-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10003,"26 Tahun, 1 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,YOGYAKARTA,KF.0021,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,26.0,25.833333333333332,KF.0021
KFA-10004,"30 Tahun, 9 Bulan",Millennials,PKWT,PELAKSANA,PELAKSANA LAYANAN FARMASI,CILEGON,KF Bhayangkara Serang,2023-12-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,30.0,29.833333333333332,OTHER_LOCATION
KFA-10005,"25 Tahun, 2 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,SEMARANG,KF MIJEN,2023-11-13,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10006,"23 Tahun, 6 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,PALEMBANG,KF.0239 DIATARI,2023-10-26,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,23.0,22.833333333333332,OTHER_LOCATION
KFA-10007,"25 Tahun, 0 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYA 2,KF.0346,2023-10-30,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,25.0,24.833333333333332,OTHER_LOCATION
KFA-10008,"27 Tahun, 6 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,MALANG,KF.0210 BENGAWAN SOLO,2023-06-25,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,27.0,26.833333333333332,OTHER_LOCATION
KFA-10009,"28 Tahun, 5 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,LAMPUNG,KF.0131,2023-12-08,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,28.0,27.833333333333332,OTHER_LOCATION
KFA-10010,"26 Tahun, 4 Bulan",Generasi Z,PKWT,PELAKSANA,APOTEKER PENDAMPING,JEMBER,KF.GENTENG,2023-09-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,26.0,25.833333333333332,OTHER_LOCATION
KFA-10011,"30 Tahun, 10 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA ADM. HUTANG DAGANG,JAYAPURA,UNIT BISNIS JAYAPURA,2023-08-01,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,30.0,29.833333333333332,OTHER_LOCATION
KFA-10012,"29 Tahun, 9 Bulan",Millennials,MAGANG,PELAKSANA,PELAKSANA ADM. KAS / BANK,JAYAPURA,UNIT BISNIS JAYAPURA,2023-07-17,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,29.0,28.833333333333332,OTHER_LOCATION
KFA-10013,"24 Tahun, 1 Bulan",Generasi Z,MAGANG,PELAKSANA,PELAKSANA LAYANAN FARMASI,JAYA 2,KF H&B GREEN PRAMUKA SQUARE,2023-10-20,2.0,,AKTIF,1970-01-01 00:00:00.000045291,AKTIF,0,5,24.0,23.833333333333332,OTHER_LOCATION
